,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,4,3,3,1996,11.0,103566,51.0,94.4,8354235.0,3905411.0,4448985.0,263.51,2.38
4,4,3,3,1980,18.0,119890,67.0,120.1,14829099.0,6066245.0,8763105.0,507.7,4.02
6,4,3,3,1926,11.0,83008,25.0,76.9,6252842.0,2679698.0,3573255.0,208.46,2.37
8,4,3,3,1904,15.0,163984,46.0,77.0,12633744.0,7355649.0,5278400.0,331.61,1.83
22,6,4,11,1961,2.0,56228,96.0,25.1,1454222.0,911659.0,542600.0,35.17,0.56
23,4,3,9,2001,6.0,88592,85.0,66.9,3880806.0,2254751.0,1626149.0,102.08,1.04
27,4,3,3,2001,10.0,171866,20.0,85.5,11026945.0,5763595.0,5263590.0,319.73,1.72
28,6,4,1,1955,1.0,126351,57.0,49.7,6283226.0,1933106.0,4350200.0,244.51,1.87
29,4,3,3,1978,5.0,68410,60.0,90.5,4341706.0,2276244.0,2065556.0,125.57,1.69
30,6,4,8,1949,2.0,160645,80.0,38.9,6387710.0,1709681.0,4678100.0,260.37,1.58
31,6,4,7,1989,2.0,51582,94.0,26.7,1472548.0,1472609.0,0.0,10.27,0.08
33,4,3,9,1994,4.0,81871,20.0,90.6,7419765.0,3266270.0,4153630.0,243.37,2.8
34,4,15,9,1955,2.0,126394,77.0,11.7,306721.0,272732.0,34000.0,3.71,0.02
36,6,4,7,1990,2.0,54986,91.0,30.1,1655612.0,1281965.0,373700.0,28.78,0.42
37,6,4,9,1950,2.0,175565,88.0,34.1,6227419.0,1561983.0,4665500.0,258.67,1.44
38,4,17,0,1961,2.0,94900,57.0,63.7,6043853.0,4289697.0,1754334.0,123.08,1.1
39,4,17,5,1900,2.0,52554,93.0,36.3,2137686.0,1226016.0,911721.0,56.97,0.98
40,4,4,10,1954,3.0,175015,95.0,40.5,7080118.0,2694187.0,4386042.0,251.72,1.37
42,4,3,3,1969,24.0,332210,68.0,44.9,15660628.0,12308680.0,3352459.0,263.85,0.63
43,4,5,3,1973,5.0,168115,79.0,54.3,9213841.0,9214222.0,0.0,64.23,0.15
48,4,3,3,1930,20.0,98634,46.0,69.7,6175812.0,5422999.0,753040.0,77.8,0.55
50,4,3,3,1985,7.0,71150,99.0,87.8,5040382.0,3053131.0,1987378.0,126.83,1.6
51,4,3,3,1908,7.0,122810,99.0,41.4,5086863.0,1305729.0,3781188.0,209.92,1.66
53,4,3,6,2000,7.0,150453,83.0,60.8,6722886.0,3586563.0,3136472.0,191.58,1.17
54,4,3,6,1997,6.0,116300,84.0,68.0,6014078.0,3238067.0,2776145.0,170.01,1.34
55,4,3,7,1998,6.0,155602,81.0,44.4,6915293.0,4566435.0,2349046.0,156.59,0.88
56,4,4,4,1911,3.0,56072,77.0,55.4,3106930.0,550355.0,2556597.0,139.62,2.45
57,4,3,7,1999,4.0,122942,94.0,67.6,5276777.0,2400660.0,2876216.0,169.49,1.29
58,4,17,1,1962,2.0,54984,65.0,63.7,3504957.0,2181293.0,1323754.0,85.51,1.38
60,4,16,10,1970,2.0,93397,1.0,175.3,16371764.0,5797976.0,10574028.0,602.0,6.18
61,4,3,6,2008,6.0,84103,68.0,62.8,3979132.0,2975816.0,1003439.0,74.04,0.73
63,4,7,4,1965,3.0,179014,48.0,105.4,18868768.0,9501003.0,9368159.0,563.78,2.92
64,4,3,4,1908,7.0,76631,24.0,94.4,7231928.0,2784090.0,4447953.0,255.64,3.18
66,4,14,6,1929,2.0,58320,95.0,14.9,1074180.0,376328.0,697867.0,39.69,0.65
67,4,5,6,2010,5.0,316306,96.0,46.3,13300859.0,12471183.0,830194.0,131.03,0.24
68,4,3,6,1990,7.0,282863,40.0,79.9,18829136.0,10638785.0,8190794.0,509.18,1.64
78,4,17,7,1970,4.0,76213,72.0,64.8,3303553.0,2809470.0,494199.0,45.83,0.44
79,4,3,7,2002,6.0,117738,52.0,84.4,5061274.0,2820414.0,2240976.0,138.68,1.07
80,4,3,9,1962,4.0,50017,51.0,111.4,5570472.0,2156751.0,3413811.0,196.34,3.74
81,6,4,2,1999,3.0,74468,85.0,24.9,1857329.0,1591795.0,265600.0,25.2,0.25
82,4,4,4,1923,3.0,67743,43.0,34.0,2303288.0,1265357.0,1037984.0,63.95,0.86
83,4,4,4,1908,6.0,194104,100.0,30.3,5889882.0,1795343.0,4094613.0,229.98,1.15
84,4,17,11,2003,3.0,99433,71.0,69.7,4439034.0,4439217.0,0.0,30.95,0.12
85,6,4,11,1991,2.0,58933,71.0,35.4,2150120.0,2150209.0,0.0,14.99,0.1
86,6,4,5,1957,1.0,130862,65.0,44.7,5851209.0,2151598.0,3699700.0,211.49,1.55
87,6,4,11,1989,3.0,59955,94.0,25.4,1521329.0,1424088.0,97300.0,15.1,0.15
88,6,4,7,1964,2.0,93218,84.0,33.0,3072599.0,1426258.0,1646400.0,97.38,0.98
91,4,3,10,2001,4.0,51390,86.0,75.2,3864699.0,1438855.0,2425903.0,138.87,2.58
92,6,4,10,1963,2.0,131013,88.0,29.9,3939221.0,1770594.0,2168700.0,127.52,0.92
93,6,4,10,1959,1.0,245587,95.0,42.5,10444297.0,3849657.0,6594800.0,377.09,1.47
94,4,3,10,2002,3.0,69138,75.0,46.7,3298570.0,1880991.0,1417657.0,88.4,1.16
95,6,4,6,1991,3.0,66588,75.0,30.5,2033074.0,2033159.0,0.0,14.17,0.08
96,4,3,3,1904,5.0,190980,97.0,36.3,6935723.0,4727785.0,2208135.0,150.23,0.68
99,6,4,0,1991,2.0,55513,91.0,28.1,1612965.0,1613032.0,0.0,11.24,0.08
102,4,3,7,1996,4.0,162222,75.0,68.2,7753080.0,4415922.0,3337341.0,208.03,1.17
103,6,4,11,1990,4.0,289588,92.0,30.2,8747819.0,6126773.0,2621300.0,181.93,0.54
108,6,4,1,2008,3.0,254523,62.0,53.5,13609040.0,7719861.0,5889500.0,366.61,1.31
109,6,4,11,2001,3.0,78804,92.0,31.1,2447651.0,1659120.0,788600.0,53.45,0.59
110,6,4,1,2002,3.0,66994,83.0,33.8,2266570.0,1757543.0,509100.0,39.29,0.47
111,6,4,5,2000,3.0,98357,90.0,33.2,3265995.0,1970276.0,1295800.0,82.55,0.75
115,4,13,7,2001,4.0,139600,88.0,32.6,4418055.0,2419334.0,1998821.0,123.02,0.81
116,6,4,8,2011,2.0,236758,96.0,34.0,8050977.0,4868567.0,3182614.0,202.97,0.77
118,6,4,10,2002,3.0,62526,97.0,29.5,1841968.0,1056512.0,785500.0,49.08,0.71
119,4,17,5,2007,3.0,64015,19.0,62.0,3349666.0,2701378.0,648399.0,53.27,0.65
122,4,14,8,1965,4.0,124342,75.0,72.4,8835104.0,8758616.0,76850.0,65.14,0.22
124,4,11,10,1996,3.0,55442,74.0,82.9,3091559.0,1814177.0,1277457.0,80.49,1.31
125,6,4,0,1999,2.0,242795,82.0,36.0,8728584.0,7466694.0,1262200.0,119.09,0.36
128,6,4,11,1952,2.0,173185,72.0,39.6,6863464.0,1781138.0,5082400.0,282.34,1.59
129,6,4,2,1963,1.0,145341,77.0,35.9,4998015.0,1914941.0,3083154.0,177.1,1.16
130,4,10,5,1904,4.0,114297,67.0,15.2,1738724.0,854011.0,884748.0,52.94,0.43
131,6,4,11,1960,2.0,184125,89.0,43.7,8037287.0,2877207.0,5160200.0,294.12,1.53
132,6,4,0,1959,1.0,160270,79.0,35.4,5674450.0,1936530.0,3738000.0,212.02,1.27
133,4,10,5,1937,1.0,234144,82.0,31.5,7370743.0,1541206.0,5829600.0,320.35,1.34
134,4,14,2,1966,1.0,64984,76.0,41.6,2721646.0,2423136.0,298611.0,32.75,0.34
135,4,14,2,1965,1.0,67745,31.0,141.1,9560965.0,3016102.0,6544988.0,368.63,5.25
136,6,4,2,2010,2.0,367884,93.0,33.3,12263687.0,8236429.0,4027600.0,271.32,0.64
137,6,4,2,1958,1.0,46797,86.0,40.8,1911611.0,852346.0,1059300.0,62.2,1.25
138,6,4,1,1963,3.0,136188,67.0,39.9,5436057.0,2388755.0,3047400.0,178.5,1.24
140,6,4,11,2004,2.0,67371,92.0,30.8,2075833.0,1461994.0,613900.0,42.8,0.54
142,6,4,6,2010,3.0,127776,81.0,33.0,4213726.0,3615976.0,597900.0,56.96,0.32
143,4,3,6,1998,5.0,123920,82.0,72.3,8964061.0,4045691.0,4918538.0,289.43,2.2
146,4,3,7,1998,7.0,207656,77.0,75.8,10735331.0,5546361.0,5189200.0,314.26,1.4
147,6,4,0,1999,2.0,67235,85.0,35.2,2364351.0,1766824.0,597600.0,44.06,0.54
148,5,17,10,1957,2.0,85017,40.0,97.0,9146727.0,6915309.0,2231705.0,166.73,1.61
149,6,4,12,1991,3.0,58118,97.0,23.1,1362993.0,1181942.0,181100.0,17.86,0.22
150,4,3,10,1968,4.0,64893,73.0,93.3,6056481.0,2500329.0,3556255.0,206.3,3.01
151,6,4,8,1989,2.0,52792,98.0,22.1,1227290.0,1227341.0,0.0,8.56,0.06
152,6,4,5,1925,1.0,70762,95.0,41.4,2933003.0,364295.0,2568723.0,138.96,1.94
153,4,17,3,1900,3.0,56456,83.0,34.3,1527917.0,1183443.0,344523.0,26.55,0.38
158,4,3,5,2005,9.0,168449,61.0,90.9,13116256.0,6384861.0,6731660.0,402.03,2.22
159,4,10,5,1916,4.0,79600,55.0,22.4,1786986.0,1787060.0,0.0,12.46,0.06
165,2,6,2,2007,4.0,52134,85.0,23.3,1212551.0,1212601.0,0.0,8.45,0.06
168,6,4,2,1999,1.0,71714,89.0,31.0,2223321.0,1903299.0,320100.0,30.27,0.31
169,4,10,6,1991,3.0,75397,91.0,7.7,516216.0,406533.0,109700.0,8.66,0.09
